,val_loss,val_accuracy,loss,accuracy
0,0.6958195567131042,0.43666666746139526,0.825959369426078,0.5085106492042542
1,0.6754379868507385,0.5637931227684021,0.7238649924257968,0.5272340178489685
2,0.6448239684104919,0.7241379022598267,0.7091744191088575,0.5289361476898193
3,0.5937036871910095,0.7120689749717712,0.6889275866873721,0.5557447075843811
4,0.6512555480003357,0.6551724076271057,0.6743497513710184,0.5812765955924988
5,0.5682637691497803,0.7224137783050537,0.6642322063446044,0.5991489291191101
6,0.6766821146011353,0.6499999761581421,0.6624090932277923,0.6217021346092224
7,0.5699719190597534,0.7086206674575806,0.6544319416614289,0.6165957450866699
8,0.5170067548751831,0.7310344576835632,0.6496384676973871,0.6246808767318726
9,0.6543399691581726,0.6534482836723328,0.6513707791998031,0.6348935961723328
10,0.6339799761772156,0.6413792967796326,0.6375157506415184,0.6497872471809387
11,0.5790776610374451,0.615517258644104,0.6368428013679829,0.6480851173400879
12,0.6000096797943115,0.6913793087005615,0.6356059967203344,0.6514893770217896
13,0.626247227191925,0.721666693687439,0.626059858139525,0.6536170244216919
14,0.594048798084259,0.6672413945198059,0.6235396952324725,0.6561701893806458
15,0.6308647394180298,0.632758617401123,0.6139450499859263,0.6706383228302002
16,0.6338291168212891,0.6120689511299133,0.6149804474952373,0.6655319333076477
17,0.6198866367340088,0.6672413945198059,0.6198960844506609,0.656595766544342
18,0.7091525793075562,0.6413792967796326,0.595103021124576,0.6885106563568115
