,Test Y,Pred Y
0,1.0,0.6272724
1,1.0,0.7685515
2,0.0,0.3708211
3,0.0,0.21800886
4,0.0,0.16898665
5,0.0,0.4079231
6,0.0,0.31038362
7,0.0,0.3101165
8,0.0,0.3113257
9,0.0,0.49052677
10,0.0,0.55994284
11,0.0,0.36608303
12,0.0,0.6566832
13,1.0,0.30457914
14,0.0,0.26046848
15,0.0,0.3222952
16,0.0,0.313221
17,0.0,0.6619819
18,0.0,0.38663632
19,0.0,0.7590338
20,0.0,0.33431372
21,0.0,0.34507307
22,1.0,0.46404073
23,0.0,0.44901043
24,0.0,0.42310882
25,0.0,0.26148254
26,0.0,0.27546504
27,0.0,0.28426737
28,0.0,0.29644036
29,0.0,0.408765
30,0.0,0.4203863
31,1.0,0.5021117
32,0.0,0.48164475
33,0.0,0.29559004
34,1.0,0.37535086
35,0.0,0.2809341
36,1.0,0.65684867
37,0.0,0.6868549
38,1.0,0.67834926
39,0.0,0.33547285
40,0.0,0.17782047
41,0.0,0.37113237
42,0.0,0.21264106
43,0.0,0.24072678
44,0.0,0.57803696
45,0.0,0.47256824
46,0.0,0.6147598
47,0.0,0.2974323
48,1.0,0.50948113
49,0.0,0.6039871
50,1.0,0.70069176
51,1.0,0.5433217
52,1.0,0.41480464
53,0.0,0.59935635
54,0.0,0.33555546
55,1.0,0.67918926
56,0.0,0.34760195
57,0.0,0.27551752
58,1.0,0.6124811
59,0.0,0.2397077
60,0.0,0.4222754
61,0.0,0.41047004
62,0.0,0.4266546
63,0.0,0.32643947
64,0.0,0.46261036
65,0.0,0.6604023
66,0.0,0.18008885
67,0.0,0.5478314
68,0.0,0.5934807
69,0.0,0.22175433
70,0.0,0.3398155
71,1.0,0.2804626
72,0.0,0.3113626
73,0.0,0.4196669
74,0.0,0.40610003
75,0.0,0.29403478
76,0.0,0.11177571
77,0.0,0.2156174
78,0.0,0.21161662
79,0.0,0.4973521
80,1.0,0.31750402
81,0.0,0.3408578
82,0.0,0.42228597
83,0.0,0.3512955
84,0.0,0.31831396
85,0.0,0.46375018
86,0.0,0.60905325
87,0.0,0.36714792
88,0.0,0.35325256
89,0.0,0.4973642
90,0.0,0.18191102
91,1.0,0.21617565
92,0.0,0.4138372
93,0.0,0.17530018
94,0.0,0.22589536
95,1.0,0.6235183
96,1.0,0.49137455
97,0.0,0.3432179
98,0.0,0.29108444
99,1.0,0.34469715
100,0.0,0.37719768
101,0.0,0.45062584
102,0.0,0.8467044
103,0.0,0.37528703
104,0.0,0.27001375
105,0.0,0.3510942
106,0.0,0.60822415
107,0.0,0.5689919
108,0.0,0.23804647
109,0.0,0.32065576
110,1.0,0.7584523
111,0.0,0.35057366
112,0.0,0.3431712
113,1.0,0.45070133
114,0.0,0.27741975
115,0.0,0.37158298
116,0.0,0.2329423
117,0.0,0.30449805
118,0.0,0.603385
119,0.0,0.26677075
120,1.0,0.6845627
121,0.0,0.38864318
122,0.0,0.28358483
